0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
-2.6822157,-1.8092709,-7.4847736,-2.5974007,-2.129449,-2.6845202,-1.2107567,-2.4493937,-1.3219724,-2.1590922,-2.6542602,-6.571615,-1.9473433,-1.0023935,-2.3546653,-2.9604611,-1.0898793,17.19015,-2.3792868,-5.4726763,-2.085195,-2.8314428,-3.1420846,-2.6293788,-2.5471206,-2.6735425,-3.140305,-3.010859,-1.4286726,-1.8589609,-2.1370401,-1.200971,-4.2645683,-10.876523,-2.8111744,-2.702208,-6.7280807,-0.7403386,-3.1586585,-2.1485178,-2.2521448,-2.5769057,-2.0200112,-2.659831,-2.245932,-2.884702,-1.9658324,-2.647359,-1.4412452,-3.2385247,-2.6930518,-2.7025652,-3.574984,-2.4908042,-3.2151384,-2.2680125,-2.393281,-2.885972,-1.858458,-2.4745922,-1.5669158,-2.2191787,-1.9984161,-3.3581538,-2.4459176,-3.142478,-2.1812747,-2.9219544,-7.12526,-2.3823133,-1.8686947,-2.0721123,-0.8753698,-1.3264884,-5.5812926,-2.2849205,-2.270694,-15.525143,-2.9803276,-1.6043723,-2.9113746,-2.5895495,-2.249176,-2.0521574,-2.182076,-1.4017036,-8.315755,-3.0267677,-1.2776067,-2.4206853,-2.94165,-1.4911592,-2.8312442,-2.3373842,-2.9729948,-2.4132092,-2.1472268,-2.480342,-2.834272,-2.6418405,-1.9071283,-1.589941,-1.6474078,-1.3060861,-2.0207355,-2.048256,-3.1490312,-1.6209743,-2.5235991,11.364213,-3.1318302,-2.9302936,-3.3150687,-13.24099,-0.84688747,-3.1462345,-2.2769604,-2.0138416,-2.5811148,-1.9466085
-0.6957567,-0.43550724,-2.002212,-0.72666925,-0.5385245,-0.6641333,-0.27810907,-0.6518407,-0.34454527,-0.46867248,-0.68961906,-1.814749,-0.5737586,-0.255574,-0.6585126,-0.7273047,-0.45672694,1.6481988,-0.468136,-1.8349886,-0.6235943,-0.7692292,-0.82711554,-0.6879948,-0.6188203,-0.6001885,-0.9270128,-0.7792454,-0.33392626,-0.45872247,-0.662025,-0.26645714,-1.3072026,0.20056936,-0.7583228,-0.7851846,-2.2305987,-0.38397336,-0.8491647,-0.5582347,-0.4830464,-0.6997411,-0.5726988,-0.69983184,-0.5057791,-0.7285296,-0.45900995,-0.7172098,-0.33277076,-0.95153797,-0.64782035,-0.9251528,-0.888204,-0.66105884,-0.8540132,-0.6121274,-0.6932056,-0.78677064,-0.5751167,-0.7648509,-0.34314972,-0.6184748,-0.5858231,-0.86137486,-0.6382221,-0.82282406,-0.6416316,-0.73305714,-2.6949944,-0.7267482,-0.44993994,-0.512289,-0.25055492,-0.39524028,-0.34303743,-0.5748394,-0.49698672,-3.1968791,-0.8039168,-0.3717035,-0.73684263,-0.66111296,-0.64441216,-0.39159605,-0.52293843,-0.40878093,-2.2398143,-0.6658915,-0.49330258,-0.74079335,-0.77976453,-0.39766508,-0.7283322,-0.69292796,-0.7664854,-0.62834704,-0.5532704,-0.5946723,-0.77425104,-0.6449958,-0.58972585,-0.43396083,-0.5299408,-0.5258907,-0.5571114,-0.56459713,-0.80718285,-0.37162185,-0.7773221,3.133616,-0.8260658,-0.7239986,-0.8274132,-3.670339,-0.22935295,-0.8751079,-0.6459789,-0.56511617,-0.6669704,-0.58251476
-3.6834152,-2.3839753,-7.9878287,-3.82076,-2.8685243,-2.5510461,-2.027176,-3.1181862,-2.9000564,-2.489923,-3.5460453,-6.6974754,-2.8160682,-1.266764,-3.1597333,-3.7989707,-2.0993829,-13.021486,-3.016269,-3.881403,-2.4312122,-3.0223765,-4.0026197,-3.675863,-3.1117594,-3.487597,-3.955573,-3.5682483,-1.8621228,-1.8022369,-2.6282861,-1.2674713,-3.4961607,-17.233816,-3.1725307,-3.675971,-7.4658556,-1.6915954,-4.155883,-2.7694259,-3.3598747,-3.7934399,-2.5148196,-3.188943,-3.56874,-3.4519453,-2.3433676,-3.409495,-2.4392042,-3.9645195,-3.804274,-4.9583316,-3.921675,-3.1654663,-3.9065516,-2.474029,-3.7058148,-3.364282,-2.699714,-3.5706878,-1.6657836,-3.017613,-2.4911819,-4.177551,-2.9103918,-3.8642597,-3.0159266,-3.6613216,-12.200312,-3.2826347,-2.0566487,-2.9285035,-1.0976458,-1.3578103,-7.1116543,-2.4475012,-2.4017045,-18.606457,-3.7922225,-0.71942854,-3.1235733,-2.789018,-3.4897935,-3.3188624,-1.9413226,-2.2118921,-12.419865,-3.3495338,-1.8897866,-3.4330945,-4.1166053,-1.4668558,-2.9092224,-3.439175,-3.9090192,-2.247212,-2.7576282,-2.8352373,-3.5446787,-3.02059,-2.3482249,-2.0209515,-2.6265378,-2.4608827,-3.0072904,-2.069873,-4.256525,-2.2019315,-3.119349,25.950176,-3.5789452,-3.3796926,-3.5754838,-16.841516,-1.2532136,-4.1731997,-3.3236752,-2.2453423,-3.1446028,-2.6137743
-1.1733198,-0.75007164,-2.8023443,-1.1649754,-0.71116936,-0.8066759,-0.4931631,-1.0123024,-0.5554215,-0.6307184,-1.227813,-4.6271086,-0.6388285,-0.36993912,-0.9965628,-1.2305753,-0.8798685,0.6932945,-0.6888436,-1.667879,-0.83334816,-1.0719489,-1.2427462,-1.0678006,-1.0031536,-0.9144654,-1.366012,-1.1792066,-0.67350477,-0.64049506,-0.8814713,-0.40464538,-1.8679318,-0.36053222,-1.2668177,-1.2081692,-2.7876887,-0.28350624,-1.2325065,-0.8773976,-0.76019377,-1.0806726,-1.0528843,-1.1282458,-0.9797681,-1.0510862,-0.89591527,-1.140847,-0.48950273,-1.4409727,-1.1403916,-1.202626,-1.4076467,-1.0202776,-1.3495266,-0.94557637,-1.1095158,-1.1784639,-0.9488474,-1.1619325,-0.64884335,-1.1111683,-0.9331894,-1.1175561,-0.9530215,-0.9778161,-0.663157,-1.1043091,-4.921627,-1.1989608,-0.6570653,-0.7915063,-0.4020285,-0.5457612,10.137084,-0.5361534,-0.8055771,-2.6850882,-1.0226135,-0.39007688,-1.0025537,-1.1241904,-0.7500894,-0.7573453,-0.8024298,-0.52336574,-3.9496355,-1.0559455,-0.5827673,-1.1824363,-1.2501228,-0.50145483,-1.073802,-1.1153755,-1.2894416,-0.8315183,-0.80493116,-0.93764234,-1.2242374,-1.0980415,-0.7348781,-0.6116719,-0.677367,-0.7876715,-0.6268873,-0.9649764,-1.2397711,-0.68020177,-0.8909577,1.2097157,-1.2180655,-1.1983515,-1.3004935,-2.7891119,-0.31018406,-1.4500942,-0.96066624,-0.8910079,-0.9805294,-0.82904685
-1.5144055,-1.0702835,-7.3357573,-1.2916639,-1.0328575,-1.3488326,-0.8479796,-1.3714392,-0.8362916,-0.75862694,-1.4150487,-3.7041183,-1.3413268,-0.80729055,-1.0536345,-1.7933606,-1.2476175,1.4800429,-1.1474211,-6.082498,-1.2812971,-1.469837,-1.7767081,-1.4131076,-1.1360216,-1.1901194,-2.0275164,-1.7540612,-1.2610617,-1.4759605,-1.3450209,-0.779778,-1.5292822,10.805672,-1.5611575,-1.3826809,-6.4323053,-0.8031826,-1.7929404,-1.2560098,-0.9074116,-1.1267837,-1.4894179,-1.5083086,-1.2456532,-1.5149596,-1.0577714,-1.6450443,-0.9376236,-2.1368356,-1.4456663,-1.5784528,-1.25529,-1.4563038,-1.75894,-1.1239394,-1.1993203,-1.5803583,-1.2301457,-1.0045077,-0.40864524,-1.1601126,-1.2668136,-1.7424495,-0.76799136,-1.9940284,-1.1983204,-1.5302984,-5.963822,-1.4585433,-1.3303804,-1.2572517,-0.9980217,-0.7635021,-12.875617,-1.4212368,-0.95243967,-7.081089,-1.8747795,-0.5729722,-1.8097212,-1.7036687,-1.074445,-0.6322775,-1.2416556,-0.32020336,-3.9951208,-1.1719718,-1.015934,-1.1672108,-1.5365539,-0.9099725,-1.8718174,-1.6772356,-1.6978047,-1.4771564,-1.3360257,-0.84631586,-1.7365243,-1.5589021,-1.3300403,-0.6474723,-1.3508985,-0.9501216,-1.548696,-1.1243238,-1.6142277,-0.9169502,-1.4904917,-6.2712855,-1.5914111,-1.8530996,-1.8226445,-10.387329,-0.88069034,-1.6584707,-1.1880708,-0.96790636,-1.4624141,-1.6815093
-0.9399902,-0.66487014,-4.4261127,-0.8856706,-0.75585485,-0.85891235,-0.42263648,-0.81420064,-0.40673023,-0.5473832,-0.946315,-2.2472036,-0.65893006,-0.49710026,-0.7961705,-0.9625357,-0.6173479,2.3237977,-0.6423423,-3.4974117,-0.8360851,-0.92866606,-1.0878825,-0.9244942,-0.68233436,-0.7932527,-1.2061245,-1.0960319,-0.5399269,-0.7580191,-0.8740861,-0.3930771,-1.6497806,5.5331573,-0.94326556,-0.97452885,-3.6729636,-0.39006436,-1.1400375,-0.7110323,-0.6714694,-0.8811476,-0.85493815,-0.89375687,-0.674384,-1.0300739,-0.6072849,-1.0020535,-0.47925535,-1.2565014,-0.89842063,-1.0120801,-1.0400826,-0.84706235,-1.0512154,-0.79438317,-0.79189825,-1.0985343,-0.7530189,-0.91579914,-0.50913167,-0.8162271,-0.7950283,-1.11188,-0.6301912,-1.188063,-0.7666483,-0.9964795,-3.5534892,-0.90547514,-0.7556571,-0.80325365,-0.46576506,-0.48349488,-1.7238479,-0.88827705,-0.64031756,-4.7463417,-1.1067874,-0.57368636,-1.1282704,-0.94082516,-0.8085282,-0.5448375,-0.7405293,-0.29748183,-2.9619517,-0.8779628,-0.53474677,-0.89879966,-0.9972522,-0.5375328,-1.038107,-0.9563402,-1.0104477,-0.91720164,-0.7308052,-0.7043736,-1.1124237,-0.99502385,-0.76311415,-0.58640623,-0.6659416,-0.5743539,-0.7431893,-0.7340778,-1.0521326,-0.5748988,-0.89972246,0.50511336,-1.0973899,-1.0979388,-1.155925,-5.348323,-0.3749693,-1.1129463,-0.84387636,-0.6796683,-0.9375168,-0.8643621
-2.249157,-1.4032395,-8.082898,-2.1589394,-1.8857982,-2.0175233,-1.1835077,-1.8950686,-1.325382,-1.1902564,-2.0855196,-3.9885964,-2.0294583,-1.0704999,-1.6751798,-2.2847595,-1.6701295,-0.18474925,-1.6289802,-7.4077005,-1.9773843,-2.365474,-2.6913457,-2.171371,-1.5978472,-1.710977,-2.8838644,-2.5489445,-1.5311399,-1.7483525,-2.0409038,-0.8277451,-2.508883,7.5895567,-2.2770076,-2.199462,-7.398671,-1.1478603,-2.7604163,-1.7452464,-1.5026076,-1.9917486,-1.8091438,-2.0893326,-1.6110215,-2.3418226,-1.393968,-2.4148922,-1.2623732,-3.0024743,-2.2385862,-2.8840356,-2.360672,-2.092294,-2.4914474,-1.6614907,-1.8427142,-2.3658447,-2.047064,-2.0031943,-1.1548982,-1.7272065,-1.865499,-2.6837697,-1.5955678,-2.7121315,-1.6233902,-2.3844748,-7.888134,-1.9058014,-1.7273726,-1.8295116,-1.0547171,-1.1340321,-10.258008,-2.0537095,-1.2875447,-11.177822,-2.6935747,-1.1433802,-2.4927614,-2.0874858,-2.1668584,-1.1886618,-1.5429251,-1.0794239,-6.3242145,-1.7989466,-1.4628024,-2.0782595,-2.3473005,-1.169015,-2.341179,-2.3453345,-2.2268736,-2.1328003,-2.1114912,-1.3420846,-2.4611344,-2.0756178,-1.7218697,-1.2982414,-1.8903685,-1.433909,-2.088985,-1.5577105,-2.5252647,-1.2295277,-2.149396,0.20951611,-2.4689639,-2.4460132,-2.6421585,-14.738716,-1.1031041,-2.6253147,-1.987138,-1.5420985,-2.1078718,-2.0670125
-1.4544736,-0.9586232,-5.554144,-1.3394172,-1.1760901,-1.3796375,-0.65254277,-1.3285705,-0.59527946,-0.7867993,-1.4719651,-4.5680437,-0.9047817,-0.5064554,-1.3997271,-1.5908256,-0.78781563,8.6008625,-1.1941035,-4.0540094,-1.1501741,-1.446155,-1.6393373,-1.3850098,-1.2172638,-1.2031202,-1.7401586,-1.6385835,-0.9346526,-1.0244912,-1.2225195,-0.5110946,-2.7398274,1.611066,-1.6438781,-1.5114243,-4.1683655,-0.23716855,-1.7309818,-1.1181704,-1.1428119,-1.4179106,-1.2608345,-1.3948107,-1.1617935,-1.5346465,-1.0692217,-1.422358,-0.5796329,-1.8098743,-1.4119143,-1.3510789,-1.8942734,-1.308822,-1.7420278,-1.2456256,-1.2384007,-1.4835985,-1.1612492,-1.418283,-0.8814288,-1.2763643,-1.0874306,-1.6269313,-1.3739154,-1.5981196,-1.1266313,-1.5979135,-4.629864,-1.3700129,-1.0502077,-1.1476502,-0.5962452,-0.77020144,3.8490198,-1.1006612,-1.0871785,-6.0731173,-1.5389799,-0.88812315,-1.5694382,-1.4931052,-1.1352088,-0.97355056,-1.1866951,-0.63782,-4.3255334,-1.5211687,-0.69818807,-1.3670738,-1.5127914,-0.76013947,-1.5247018,-1.3222456,-1.6035151,-1.3133302,-1.1221231,-1.2686803,-1.500163,-1.5187374,-1.0454366,-0.94609106,-0.792857,-0.7836157,-0.94844633,-0.9818055,-1.6634719,-0.91595864,-1.4609385,0.46147102,-1.5992696,-1.8451018,-1.7772563,-6.650629,-0.35437047,-1.7232966,-1.1624742,-1.0859221,-1.3942566,-1.0710474
-0.8528751,-0.49094272,-3.0124607,-0.76484275,-0.64550054,-0.60495114,-0.3736028,-0.65894496,-0.46549976,-0.3131156,-0.81682754,-3.3380365,-0.544943,-0.2581652,-0.80610573,-0.85664755,-0.6456032,2.9286737,-0.4843703,-1.8643692,-0.65221953,-0.8032382,-0.87062585,-0.71615505,-0.58138347,-0.5905864,-1.0394875,-0.85968953,-0.555806,-0.57763976,-0.76795363,-0.20937926,-1.7615526,1.3240844,-0.98895776,-0.8457859,-1.9734037,-0.10296586,-0.93855715,-0.6397308,-0.5405083,-0.73888123,-0.8106306,-0.808036,-0.63221246,-0.765647,-0.6515713,-0.87509,-0.35002083,-1.0829873,-0.85628074,-0.8757631,-1.0990782,-0.76671576,-0.93689394,-0.7474065,-0.78080726,-0.8431619,-0.7606249,-0.8446524,-0.5711309,-0.77652407,-0.64212555,-0.79162276,-0.8026012,-0.6859882,-0.57624096,-0.8229362,-3.199635,-0.8786386,-0.5645491,-0.6794288,-0.3320292,-0.3898004,7.6242447,-0.4888146,-0.51691407,-2.181823,-0.77700335,-0.42160752,-0.7677578,-0.86616623,-0.4359334,-0.39102313,-0.6967188,-0.380934,-2.6212482,-0.77173114,-0.44951245,-0.8687427,-0.91084516,-0.3553285,-0.81941634,-0.75662386,-0.8794077,-0.82724273,-0.74014866,-0.59545624,-0.84284186,-0.90406543,-0.5511731,-0.49959627,-0.4581556,-0.53470516,-0.57619214,-0.7403655,-0.93862367,-0.3935606,-0.783172,0.006219834,-0.88103616,-1.0002766,-0.95681256,-2.7117403,-0.19681242,-1.0341315,-0.57780504,-0.60063934,-0.7794548,-0.65953743
-1.8663485,-1.3519193,-7.450376,-1.7913654,-1.4464545,-1.8361533,-0.7846612,-1.5875711,-0.80972314,-1.1631943,-1.9137005,-5.007561,-1.1879058,-0.8839556,-1.6213601,-1.8973491,-0.95087385,11.405077,-1.5468922,-5.720506,-1.532388,-1.9220607,-2.1526942,-1.8004596,-1.578933,-1.5964242,-2.1967008,-2.181792,-1.0149708,-1.3419347,-1.4663558,-0.89167756,-2.9606113,3.7031724,-1.9061749,-1.9424013,-6.114949,-0.53553617,-2.104808,-1.4280214,-1.3708827,-1.717047,-1.5864606,-1.8061647,-1.4498196,-2.01574,-1.3190832,-1.8833747,-0.89630926,-2.3751519,-1.725161,-1.6939914,-2.1572237,-1.6203507,-2.1794977,-1.4890128,-1.5564536,-1.9531898,-1.3414159,-1.7252825,-1.0293267,-1.550847,-1.5954092,-2.1954963,-1.5708545,-2.0912848,-1.4372184,-1.9606712,-6.131041,-1.6366227,-1.2940223,-1.3572763,-0.828861,-1.0035164,-3.5637197,-1.5897698,-1.5004636,-8.987534,-2.1095624,-1.1081815,-2.1714664,-1.8769934,-1.5368214,-1.2167134,-1.4332042,-0.83744895,-5.4579782,-1.8119943,-0.9358852,-1.5976788,-1.9351501,-1.0875425,-1.9793925,-1.8134284,-1.9956872,-1.7723901,-1.385159,-1.4798312,-2.059051,-1.9342923,-1.4223747,-1.1743932,-1.2122307,-1.0306537,-1.3828199,-1.3117006,-2.0817597,-1.1549002,-1.7096022,0.96265346,-2.1840043,-2.2429857,-2.2728004,-9.505212,-0.6582101,-2.1396644,-1.5597786,-1.3162241,-1.7991067,-1.5315471
